"Product code","Product name","group","Product categories","costAverage cost x number of sales","cost %","price","profit %","branch"
"","ชานมมะลิ","","ชานม","16.68","41.69%","40","58.31%","YensThailand Cafe & Bakery"
"","ชามะลิใส","","ชาผลไม้","4.83","24.17%","20","75.83%","YensThailand Cafe & Bakery"
"","ชามะลิบลู","","ชาผลไม้","14.83","59.34%","25","40.66%","YensThailand Cafe & Bakery"
"","ชาเขียวมะลิ","","ชาผลไม้","11.76","47.04%","25","52.96%","YensThailand Cafe & Bakery"
"0010001","ไอศครีมวนิลาโคน","","ไอศครีม","17.78","118.51%","15","-18.51%","YensThailand Cafe & Bakery"
"0010002","ไอศครีมโคนชาไทย","","ไอศครีม","3.50","23.33%","15","76.67%","YensThailand Cafe & Bakery"
"0010003","ไอศครีมโคนสตรอเบอร์รี่","","ไอศครีม","3.50","23.33%","15","76.67%","YensThailand Cafe & Bakery"
"0010004","ไอศครีมโคนช็อคโกแลต","","ไอศครีม","3.50","23.33%","15","76.67%","YensThailand Cafe & Bakery"
"0010005","ซิกเนเจอร์ทูโทนโคน","","ไอศครีม","13.70","47.23%","29","52.77%","YensThailand Cafe & Bakery"
"0010006","ซิกเนเจอร์ 2 โทน ซันเดย์","","ไอศครีม","20.26","50.64%","40","49.36%","YensThailand Cafe & Bakery"
"0010007","วนิลา ไข่มุก ซันเดย์","","ไอศครีม","2.30","5.75%","40","94.25%","YensThailand Cafe & Bakery"
"0010008","ชาไทย ไข่มุก ซันเดย์","","ไอศครีม","2.30","5.75%","40","94.25%","YensThailand Cafe & Bakery"
"0010009","สตรอเบอร์รี่ ซันเดย์","","ไอศครีม","52.11","130.28%","40","-30.28%","YensThailand Cafe & Bakery"
"0010010","ช็อคโกแลต ซันเดย์","","ไอศครีม","2,841.01","7,102.53%","40","-7,002.53%","YensThailand Cafe & Bakery"
"0010011","มะม่วง ซันเดย์","","ไอศครีม","2,852.11","7,130.28%","40","-7,030.28%","YensThailand Cafe & Bakery"
"0010012","พีช ซันเดย์","","ไอศครีม","4,998.61","12,496.53%","40","-12,396.53%","YensThailand Cafe & Bakery"
"0020001","สมูตตี้มะม่วง","","สมูตตี้","58.69","130.43%","45","-30.43%","YensThailand Cafe & Bakery"
"0020002","สมูตตี้สตรอเบอร์รี่","","สมูตตี้","58.69","130.43%","45","-30.43%","YensThailand Cafe & Bakery"
"0020003","ชาสตรอเบอร์รี่ โฟลต","","สมูตตี้","23.31","58.27%","40","41.73%","YensThailand Cafe & Bakery"
"0020004","ชาแอปเปิ้ล โฟลต","","สมูตตี้","3,320.01","8,300.02%","40","-8,200.02%","YensThailand Cafe & Bakery"
"0020005","ชาพีช โฟลต","","สมูตตี้","22.86","57.14%","40","42.86%","YensThailand Cafe & Bakery"
"0020006","เย็น-เชค มะม่วง","","สมูตตี้","18.42","40.93%","45","59.07%","YensThailand Cafe & Bakery"
"0020007","เย็น-เชค สตรอเบอร์รี่","","สมูตตี้","18.42","40.93%","45","59.07%","YensThailand Cafe & Bakery"
"0020008","เย็น-เชค พีช","","สมูตตี้","18.42","40.93%","45","59.07%","YensThailand Cafe & Bakery"
"0020009","สมูตตี้ลิ้นจี่","","สมูตตี้","24.63","54.74%","45","45.26%","YensThailand Cafe & Bakery"
"Total","","0.00","","14,422.23","","869.00","",""
